Team,Date,Opponent,Inn,Batter,Event,Sit Before,Sit After,Best Sit,Worst Sit,Success?,1B,Fielder,Pos,Hand,F/B,Direction,Distance,Velo
ARI,3/28,Rockies,9,Ezequiel Tovar,5-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,S,Short,92.1
ARI,4/5,Braves,6,Orlando Arcia,5-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Long,84.4
ARI,4/6,Braves,1,Austin Riley,6-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,S,Short,92.1
ARI,4/6,Braves,3,Travis d'Arnaud,4-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Ketel Marte,2B,RH,Back,R,Short,82.4
ARI,4/13,Cardinals,7,Masyn Winn,1B,000 0,100 0,100 0,100 0,Yes,Christian Walker,Jace Peterson,SS,RH,Back,S,Long,79.5
ARI,4/13,Cardinals,8,Nolan Arenado,1B,000 1,100 1,000 2,100 1,No,Christian Walker,Jace Peterson,SS,RH,Back,R,Stretch,79.5
ARI,4/16,Cubs,1,Nico Hoerner,1B,000 0,100 0,100 0,100 0,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,R,Long,92.1
ARI,4/29,Dodgers,6,Shohei Ohtani,6-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Kevin Newman,SS,RH,Back,S,Short,81.1
ARI,4/30,Dodgers,4,Will Smith,5-3,010 1,010 2,010 2,010 1 +1,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Short,84.4
ARI,4/30,Dodgers,6,Andy Pages,6-3,010 2,000 3,000 3,010 2 +1,Yes,Christian Walker,Kevin Newman,SS,RH,Back,S,Stretch,81.1
ARI,5/1,Dodgers,2,Teoscar Hernandez,6-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Blaze Alexander,SS,RH,Back,R,Short,92.1
ARI,5/12,Orioles,6,Ryan Mountcastle,5-4-3 DP,100 1,000 3,000 3,010 2,Yes,Christian Walker,Ketel Marte,2B,RH,Back,S,Stretch,82.4
ARI,5/19,Tigers,8,Mark Canha,4-3,100 0,010 1,010 1,011 0,Yes,Christian Walker,Ketel Marte,2B,RH,Back,S,Short,82.4
ARI,5/31,Mets,3,Jose Iglesias,4-3,010 2,000 3,000 3,010 2 +1,Yes,Christian Walker,Ketel Marte,2B,RH,Fore,L,Stretch,82.4
ARI,6/3,Giants,9,Matt Chapman,1B,000 1,100 1,000 2,100 1,No,Christian Walker,Blaze Alexander,SS,RH,Back,R,Stretch,92.1
ARI,6/12,Angels,6,Kevin Pillar,5-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Blaze Alexander,3B,RH,Back,S,Stretch,90.6
ARI,6/27,Twins,6,Manuel Margot,6-3,100 2,000 3,000 3,011 2,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Stretch,85.8
ARI,6/30,A's,1,Brent Rooker,6-3,000 2,000 3,000 3,100 2,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Back,S,Stretch,85.8
ARI,7/2,Dodgers,8,Chris Taylor,5-3,010 2,000 3,000 3,010 2 +1,Yes,Christian Walker,Kevin Newman,3B,RH,Back,S,Short,81.1
ARI,7/5,Padres,4,Luis Arraez,1B,100 2,110 2,110 2,011 2,Yes,Christian Walker,Ketel Marte,2B,RH,Back,S,Long,82.4
ARI,7/5,Padres,5,Donovan Solano,E5,000 2,100 2,000 3,100 2,No,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Stretch,84.4
ARI,7/6,Padres,7,Luis Campusano,6-3,000 0,000 1,000 1,100 0,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Stretch,85.8
ARI,7/6,Padres,7,Jake Cronenworth,1B,011 2,101 2 +1,101 2 +1,010 2 +2,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Long,84.4
ARI,7/12,Blue Jays,2,Alejandro Kirk,6-3,000 1,000 2,000 2,100 1,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Long,85.8
ARI,7/21,Cubs,2,Christopher Morel,1B,000 1,100 1,100 1,100 1,Yes,Christian Walker,Geraldo Perdomo,SS,RH,Fore,S,Long,85.8
ARI,7/22,Rockies,4,Donovan Solano,5-3,000 1,000 2,000 2,100 1,Yes,Christian Walker,Eugenio Suarez,3B,RH,Back,S,Stretch,84.4
ARI,8/3,Pirates,1,Connor Joe,5-3,000 2,000 3,000 3,100 2,Yes,Josh Bell,Eugenio Suarez,3B,RH,Fore,S,Short,84.4
ARI,8/7,Guardians,8,Lane Thomas,1B,000 0,100 0,100 0,100 0,Yes,Kevin Newman,Geraldo Perdomo,SS,RH,Back,S,Short,85.8
ARI,8/7,Guardians,9,Andres Gimenez,1B,000 1,100 1,100 1,100 1,No,Kevin Newman,Geraldo Perdomo,SS,RH,Back,R,Stretch,85.8
ARI,8/10,Phillies,9,Bryson Stott,4-3,000 0,000 1,000 1,100 0,Yes,Josh Bell,Kevin Newman,2B,RH,Fore,L,Short,77.9
ARI,8/12,Rockies,8,Ryan McMahon,6-3,000 1,000 2,000 2,100 1,Yes,Josh Bell,Geraldo Perdomo,SS,RH,Fore,S,Short,85.8
